miRNA	SRR5144155	SRR5144156	SRR5144157	SRR5144158	SRR5144159	SRR5144160	SRR5144161	SRR5144162	SRR5144163	SRR5144164	SRR5144165	SRR5144166	SRR5144167	SRR5144168	SRR5144169	SRR5144170	SRR5144171	SRR5144172	SRR5144173	SRR5144174	SRR5144175	SRR5144176	SRR5144177
mmu-let-7i-5p	57672	75202	72472	51155	44737	70408	43045	45580	38608	36063	33852	21344	58070	74359	57700	99075	113074	52354	36058	21373	34025	35829	13392
mmu-let-7j	11054	13255	13941	9602	8510	12803	7029	8124	6459	6617	6018	3860	8895	10972	8182	14696	18554	9595	6068	3622	6446	6263	2637
mmu-let-7k	2	4	5	4	1	3	2	0	1	0	1	0	3	4	6	4	2	3	2	0	1	2	0
mmu-miR-100-3p	28	48	40	26	24	32	28	14	16	10	20	8	28	39	45	42	37	28	19	12	20	18	10
mmu-miR-100-5p	9396	7889	5867	10736	5754	6397	8592	8769	7134	6834	6887	3314	7347	9855	6220	14523	7950	15888	8206	5274	11244	9344	2161
mmu-miR-101a-3p	110732	159381	128909	104275	92853	139806	38934	54086	26198	34254	40170	11444	56248	90623	77452	124491	81529	70384	45415	29137	44205	55159	16777
mmu-miR-101a-5p	283	397	334	274	225	344	129	125	95	76	133	49	172	228	207	242	208	178	75	63	71	123	40
mmu-miR-101b-3p	12101	16024	14006	11212	9607	13917	7942	11136	6457	6867	8343	2610	13517	20826	17342	28302	21078	16049	9675	6382	9533	12025	3765
mmu-miR-101b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	0
mmu-miR-101c	111764	160850	130121	105250	93686	141120	39205	54438	26389	34486	40466	11518	56474	91018	77811	125040	81895	70986	45839	29394	44617	55679	16934
mmu-miR-103-1-5p	1	0	0	1	0	1	1	0	1	0	2	0	3	0	0	3	1	1	1	2	1	1	0
mmu-miR-103-2-5p	3	3	6	6	6	2	4	3	5	3	8	0	5	5	7	14	6	7	2	2	1	4	1
mmu-miR-103-3p	55748	69012	66745	50607	42221	62928	49212	60928	47135	40676	47512	26309	76000	105517	85596	135830	104182	53856	32018	21165	29947	36939	13741
mmu-miR-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-106a-5p	2	1	4	1	1	0	4	2	0	1	1	0	4	0	5	6	2	2	1	2	3	3	1
mmu-miR-106b-3p	385	588	469	358	389	502	236	339	211	182	218	122	353	467	368	610	521	776	510	310	462	547	185
mmu-miR-106b-5p	258	437	326	267	204	356	231	307	175	182	219	92	311	468	481	601	436	709	435	204	291	517	108
mmu-miR-107-3p	8823	11233	10668	7955	6554	10143	9081	11080	8617	7204	8386	4805	13009	18692	15764	23283	18326	12169	6397	4283	6337	7582	3030
mmu-miR-107-5p	16	13	12	16	7	12	9	24	15	13	19	8	17	31	23	35	25	37	21	7	13	22	1
mmu-miR-10a-3p	2	1	0	1	2	4	1	0	0	0	1	0	1	2	0	0	0	2	1	0	0	3	0
mmu-miR-10a-5p	1898	2055	2842	1763	1347	2081	393	474	320	384	387	141	424	681	708	1030	537	712	797	315	480	428	110
mmu-miR-10b-3p	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
mmu-miR-10b-5p	9351	10826	14212	8449	7040	10103	1319	1347	1037	1069	1039	511	692	1569	2244	4271	1437	1646	891	1461	1163	948	282
mmu-miR-1187	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-1188-3p	0	1	1	2	0	2	4	1	2	1	1	1	3	7	0	4	3	2	1	0	1	0	0
mmu-miR-1188-5p	4	2	2	1	3	3	7	5	4	0	7	3	3	8	6	9	6	1	3	1	1	0	1
mmu-miR-1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1191a	17	21	18	13	17	17	14	22	21	9	9	12	28	25	27	26	38	40	21	10	15	24	7
mmu-miR-1191b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1191b-5p	22	36	37	30	20	38	11	20	11	12	13	8	17	23	20	35	19	25	11	10	12	15	3
mmu-miR-1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1193-3p	7	6	5	7	2	3	19	17	20	11	11	8	13	12	13	34	17	9	5	5	5	7	1
mmu-miR-1193-5p	2	2	0	0	1	3	4	3	0	4	4	0	7	6	7	17	8	3	1	1	3	0	2
mmu-miR-1194	6	11	9	9	2	8	6	1	2	1	2	3	5	11	12	8	13	15	8	6	4	11	2
mmu-miR-1195	3	4	2	3	2	2	1	1	1	2	2	0	1	2	1	1	6	3	2	0	1	3	0
mmu-miR-1197-3p	18	11	10	11	10	10	50	42	36	16	30	16	61	60	61	77	73	24	11	6	10	12	2
mmu-miR-1197-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-1198-3p	6	3	4	2	4	6	0	4	2	0	3	2	10	5	4	7	6	4	1	3	4	2	3
mmu-miR-1198-5p	264	363	321	278	239	326	343	470	347	243	336	169	377	493	414	654	568	629	338	194	341	352	168
mmu-miR-1199-3p	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-1199-5p	10	19	11	2	8	13	6	7	5	2	6	3	3	8	13	12	13	6	5	3	2	4	1
mmu-miR-12178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12179-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12180-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12181-3p	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-12181-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12182-3p	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12182-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12183-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12184-3p	4	10	9	7	4	5	4	5	3	4	5	0	1	9	7	12	8	6	4	1	3	4	0
mmu-miR-12184-5p	3	4	4	6	1	4	3	5	4	2	1	0	2	2	5	2	1	2	2	1	1	1	0
mmu-miR-12185-3p	1	3	1	1	2	1	3	5	2	0	5	0	4	6	9	11	5	5	1	0	1	2	1
mmu-miR-12185-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-12186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12186-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12187-3p	0	2	1	0	0	1	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0
mmu-miR-12187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-12188-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12188-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12189-3p	6	3	4	3	4	3	4	6	2	7	3	5	9	11	5	20	27	8	6	1	6	3	0
mmu-miR-12190-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12191-3p	46	35	42	38	20	63	19	26	17	17	17	8	41	46	36	57	58	29	39	17	18	26	8
mmu-miR-12191-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12192-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
mmu-miR-12193-3p	3	5	5	3	1	4	4	5	4	2	6	3	5	7	3	8	1	1	0	0	1	3	1
mmu-miR-12193-5p	0	3	2	0	0	2	0	2	0	1	0	0	0	2	1	3	1	0	0	0	0	1	1
mmu-miR-12194-3p	4	9	6	1	5	4	7	13	6	8	5	3	8	15	14	17	24	7	1	3	6	4	0
mmu-miR-12195-3p	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12195-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12196-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12196-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
mmu-miR-12197-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12198-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12199-3p	1	2	2	0	1	0	0	2	0	0	0	0	0	1	0	1	3	1	0	0	0	0	0
mmu-miR-122-3p	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
mmu-miR-122-5p	7	9	8	0	2	4	4	6	2	5	6	0	0	2	5	10	4	0	1	0	1	2	0
mmu-miR-12200-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12200-5p	0	0	0	0	0	0	1	2	1	1	3	0	2	1	2	5	3	1	1	0	0	0	0
mmu-miR-12201-3p	0	2	0	0	0	0	2	0	2	0	3	1	1	3	1	3	1	12	6	2	1	2	0
mmu-miR-12201-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12202-3p	1	0	3	3	2	0	0	1	1	1	1	0	0	1	3	3	1	2	1	0	0	0	0
mmu-miR-12202-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12203-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12203-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-12204-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12205-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12205-5p	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	4	2	0	1	0
mmu-miR-12206-5p	1	2	2	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0
mmu-miR-1224-3p	3	6	11	6	5	8	2	15	4	2	11	5	9	17	13	17	14	9	3	2	0	6	4
mmu-miR-1224-5p	121	84	89	107	58	88	241	334	226	199	290	130	218	263	308	349	204	136	102	58	87	114	37
mmu-miR-122b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-122b-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
mmu-miR-1231-3p	3	5	4	6	4	8	1	1	0	0	1	2	5	6	3	11	9	7	2	4	6	6	4
mmu-miR-1231-5p	0	2	0	0	2	1	1	2	0	0	2	0	0	2	0	1	5	2	0	0	0	1	0
mmu-miR-124-3p	168214	242564	245212	174113	129755	237824	96786	118704	94624	75865	93696	37761	112198	145475	145454	173946	137501	202238	129571	86006	105211	122772	41456
mmu-miR-124-5p	1788	2298	2135	1562	1265	1851	999	1348	798	783	954	413	1135	1640	1579	1850	1301	2284	1343	735	969	1476	460
mmu-miR-1247-3p	1	1	0	0	2	0	1	2	1	0	1	2	2	7	2	7	2	6	3	1	5	0	0
mmu-miR-1247-5p	58	55	56	47	43	85	52	69	41	36	54	42	85	153	122	215	27	98	60	35	56	55	40
mmu-miR-1249-3p	1575	2510	2493	2496	1941	2784	587	1439	650	546	1338	334	1143	1842	1780	3117	1613	1551	649	511	754	1175	325
mmu-miR-1249-5p	2	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0
mmu-miR-124b-3p	3	6	9	5	3	7	4	3	3	0	9	3	7	13	7	15	4	8	3	1	3	1	2
mmu-miR-1251-3p	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1251-5p	60	41	28	40	35	54	60	48	47	29	46	10	29	32	55	70	32	45	17	10	19	37	3
mmu-miR-1258-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
mmu-miR-1258-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
mmu-miR-125a-3p	90	117	141	102	87	139	76	70	53	42	62	35	102	130	86	132	91	105	68	45	57	66	31
mmu-miR-125a-5p	82987	108806	97060	93329	66084	106376	36207	44125	27375	29891	33407	13834	40637	62527	55396	93747	64089	77167	34382	22315	37805	44313	9348
mmu-miR-125b-1-3p	661	710	717	527	487	711	1006	1182	899	813	838	361	1023	1200	1207	1761	1692	1351	707	505	827	709	245
mmu-miR-125b-2-3p	3151	3786	4224	3086	2389	4085	3438	4182	2973	2791	3225	1471	7198	9439	8541	10861	9406	2032	1238	889	1233	1221	421
mmu-miR-125b-5p	46517	49851	47328	52091	33277	45171	58234	69135	46964	48256	53143	25090	63084	94857	88018	136390	84373	64455	37746	23007	38281	37792	9407
mmu-miR-1264-3p	41	65	7	8	25	18	35	48	42	27	39	18	95	35	149	40	22	6	6	4	9	6	0
mmu-miR-1264-5p	20	24	0	9	8	5	10	14	14	5	6	3	27	14	60	21	12	1	0	1	3	1	0
mmu-miR-126a-3p	5368	6663	6091	5028	4040	6696	5409	6969	5220	4049	5204	2302	7296	8626	8686	12957	8616	5589	3656	2125	2769	4018	1056
mmu-miR-126a-5p	28448	36750	39538	26238	21139	37694	29441	36551	29441	22938	27369	13233	47058	53633	54680	71711	56918	28226	19274	13165	16229	19141	5406
mmu-miR-126b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-126b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-127-3p	80430	93965	106646	75657	60440	94583	26479	35894	31952	22583	26043	16185	134551	182363	160176	221333	166225	24599	14782	10532	14567	15267	6571
mmu-miR-127-5p	3204	4305	3927	3356	2553	4093	4212	5581	3360	3631	4224	1219	4825	7687	6665	10200	6402	3920	2061	1346	2183	2728	715
mmu-miR-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1271-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-128-1-5p	149	181	173	179	139	203	1457	2076	1373	1425	1474	862	1354	1751	1444	2325	1553	1122	562	471	648	647	288
mmu-miR-128-2-5p	0	0	0	0	1	1	1	0	0	2	0	1	1	1	0	0	0	1	0	1	3	0	1
mmu-miR-128-3p	71044	91593	76205	71522	56133	85072	172330	236849	162375	142921	183907	73548	172119	192317	167305	269456	260348	225104	123926	74619	113879	140599	42920
mmu-miR-129-1-3p	1739	2750	2469	2321	1829	2993	771	1052	693	571	898	260	336	718	710	843	739	1647	677	332	474	966	101
mmu-miR-129-2-3p	3817	7010	6267	5565	4514	7725	5532	7005	4924	3168	6024	1800	2186	5340	5038	5477	5135	4096	1633	934	1175	2348	303
mmu-miR-129-5p	11957	18444	15651	10771	9333	15105	6724	10383	7108	5713	7861	3180	8365	11368	9245	14438	10719	10038	5895	3694	4786	6628	2077
mmu-miR-1291	1	3	1	2	4	1	0	1	2	3	1	0	2	2	1	9	5	0	0	1	1	0	0
mmu-miR-1298-3p	956	1158	106	255	422	366	990	1204	870	662	888	388	1819	1412	2916	1741	903	99	96	90	222	92	20
mmu-miR-1298-5p	9552	14792	216	1655	5099	4030	2166	2190	955	1185	1105	1112	16766	1377	28568	1690	927	231	167	132	255	148	55
mmu-miR-129b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-129b-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
mmu-miR-1306-3p	0	4	2	1	2	3	2	2	2	3	1	1	2	2	4	8	6	4	3	1	4	3	2
mmu-miR-1306-5p	50	79	47	53	48	83	30	49	29	22	37	14	50	62	58	71	55	112	30	26	28	72	11
mmu-miR-130a-3p	3199	4462	3626	3070	2455	4197	2507	2275	2034	1387	1928	668	3135	4133	4149	5518	4022	5200	2879	1730	2472	3555	778
mmu-miR-130a-5p	6	9	5	3	2	4	3	2	0	0	1	0	3	4	5	1	0	10	2	4	0	1	1
mmu-miR-130b-3p	63	63	47	42	45	66	200	220	198	157	150	68	126	158	130	202	175	684	392	232	356	455	113
mmu-miR-130b-5p	21	22	15	26	11	12	60	92	64	40	41	34	42	71	52	72	79	305	138	113	159	197	54
mmu-miR-130c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-132-3p	5877	6641	5416	4559	4695	5785	23084	34786	23070	17933	26885	13798	16141	18180	15762	25060	20969	34712	22218	12401	15394	23751	11098
mmu-miR-132-5p	396	424	362	330	317	409	2155	2856	1863	1738	2213	1015	1391	1526	1353	2097	1703	2543	1541	839	1163	1763	504
mmu-miR-133a-3p	2776	3428	3018	2940	1916	3304	638	938	672	756	754	350	868	1300	1280	1956	1228	520	288	248	296	304	100
mmu-miR-133a-5p	2	2	6	4	0	6	2	2	8	0	2	2	0	10	6	12	2	2	2	0	2	0	0
mmu-miR-133b-3p	859	1280	1149	956	655	1262	8	20	23	30	19	8	19	36	35	53	30	9	4	7	2	2	0
mmu-miR-133b-5p	4	6	5	3	2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-133c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-134-3p	46	52	73	53	37	56	104	121	99	83	93	64	103	130	141	192	125	63	38	18	38	45	13
mmu-miR-134-5p	384	384	448	314	223	403	501	537	453	337	429	223	570	698	645	827	714	566	364	200	275	333	134
mmu-miR-135a-1-3p	2	0	2	1	0	0	8	8	9	5	4	3	1	3	10	5	2	0	0	2	3	4	3
mmu-miR-135a-2-3p	42	40	39	31	25	33	67	61	47	55	44	40	68	74	71	94	97	94	52	28	64	63	30
mmu-miR-135a-5p	1068	1014	864	933	648	745	1078	1210	886	784	926	291	833	1304	1680	1612	921	1110	768	372	567	956	218
mmu-miR-135b-3p	7	12	4	7	4	6	11	13	15	4	12	1	8	6	6	7	6	46	32	17	20	21	8
mmu-miR-135b-5p	187	210	268	182	154	232	147	182	96	97	143	35	78	112	115	144	96	571	379	214	290	436	98
mmu-miR-136-3p	27889	38938	38096	29336	21831	36567	36094	44967	29522	29596	34547	10282	38768	57001	58745	69828	56670	29020	16409	10641	16397	19637	5056
mmu-miR-136-5p	12963	20828	17812	13162	12042	19235	9862	14069	5322	8145	11751	1593	9311	17053	14203	22157	16498	8682	7699	4407	6826	10473	1946
mmu-miR-137-3p	370	316	222	285	188	245	3134	3196	2393	1937	2900	876	4021	5827	5061	7718	4774	831	485	266	461	721	196
mmu-miR-137-5p	0	4	0	2	2	3	23	17	15	12	18	4	25	27	31	29	30	8	3	2	4	3	1
mmu-miR-138-1-3p	59	110	97	92	74	122	143	233	180	103	177	88	494	358	234	391	775	177	113	116	91	108	94
mmu-miR-138-2-3p	28	42	38	34	34	43	42	47	48	32	51	27	84	94	78	131	84	47	29	16	15	20	11
mmu-miR-138-5p	51904	58229	41681	49836	38266	53883	110127	106677	107270	52795	110443	39498	226445	248975	220208	328641	254923	103199	34667	21228	26874	75856	22981
mmu-miR-139-3p	7	9	3	4	4	4	20	62	34	23	40	21	31	45	42	57	44	20	14	5	10	16	9
mmu-miR-139-5p	443	467	407	421	315	444	3477	4986	3802	2856	4272	2042	3572	5126	4972	6135	3625	1852	896	544	825	1227	376
mmu-miR-140-3p	9138	12457	11213	8674	7364	10913	4904	6557	5012	3862	4697	2449	7749	10681	9630	14253	9174	9333	5680	3721	4979	6241	2049
mmu-miR-140-5p	299	456	346	303	286	389	178	237	207	170	186	100	332	360	343	493	324	354	212	106	146	281	56
mmu-miR-141-3p	14	68	24	11	6	11	1638	1048	958	10	99	18	21	38	57	22	17	88686	51858	33269	60239	62394	12157
mmu-miR-141-5p	1	0	0	1	0	1	18	19	12	0	0	1	0	0	0	1	1	906	559	353	561	731	166
mmu-miR-142a-3p	55	84	83	54	50	108	105	150	68	78	148	25	102	154	150	230	159	82	119	47	62	101	17
mmu-miR-142a-5p	510	900	673	497	485	877	1225	2075	1232	1008	1467	366	1195	2105	1879	2545	2173	1502	1649	766	1126	1218	258
mmu-miR-142b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-143-3p	106203	127574	151983	93167	89402	154849	126832	141949	91240	94037	94313	45796	134214	280029	210863	406396	210110	112093	73173	51442	77802	83123	19203
mmu-miR-143-5p	19	9	14	11	12	14	8	16	8	10	15	5	9	17	28	38	13	11	5	6	13	8	2
mmu-miR-144-3p	154	294	179	125	157	292	111	306	55	85	176	34	70	294	165	292	200	64	161	86	89	108	54
mmu-miR-144-5p	121	216	175	132	119	176	121	197	85	112	135	73	97	224	170	246	211	124	138	60	93	141	54
mmu-miR-145a-3p	114	141	108	156	76	117	161	135	117	116	114	39	138	227	198	355	169	128	97	57	121	98	19
mmu-miR-145a-5p	654	745	727	693	520	705	715	622	476	399	548	185	752	1327	1292	2247	664	591	392	158	282	447	64
mmu-miR-145b	4	3	3	1	4	3	6	3	1	3	2	1	5	7	7	7	5	5	1	0	0	0	0
mmu-miR-146a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-146a-5p	245	310	431	197	168	358	587	1087	648	871	637	326	719	756	887	1231	1207	1201	1711	919	1015	796	170
mmu-miR-146b-3p	4	7	7	10	3	14	2	0	7	1	6	1	3	5	4	9	2	5	2	2	0	1	0
mmu-miR-146b-5p	4711	6497	10309	4702	2954	6942	3826	6421	2681	5304	3592	1991	4776	6258	5546	7499	7520	4172	5014	3312	3536	3514	886
mmu-miR-147-3p	3	6	9	8	6	12	4	7	11	5	8	3	5	12	14	17	11	5	4	2	3	5	0
mmu-miR-147-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-148a-3p	6064	4700	4899	4083	3761	5554	18120	21632	18251	15209	16952	7433	16996	24515	20993	38970	17919	12752	8406	5975	8473	9166	2736
mmu-miR-148a-5p	56	52	59	41	27	71	193	204	121	120	127	67	235	331	290	492	246	130	71	59	84	79	27
mmu-miR-148b-3p	2916	3582	3848	2983	2199	3471	3698	5278	3655	3741	4074	1888	4654	5604	5786	7578	5621	5709	3381	2257	3465	3851	996
mmu-miR-148b-5p	142	162	193	128	102	184	127	168	121	111	136	54	201	271	283	318	294	140	108	81	81	126	34
mmu-miR-149-3p	2	1	0	1	0	0	1	1	0	2	0	0	3	3	4	5	2	2	1	2	0	1	1
mmu-miR-149-5p	4361	4991	3541	4438	3379	4560	4900	4765	3753	2320	4848	1965	6012	7615	7090	10596	7955	7561	2935	1909	2349	5302	1585
mmu-miR-150-3p	6	10	6	2	8	4	6	15	6	5	5	1	17	16	5	13	9	5	7	4	3	5	3
mmu-miR-150-5p	5607	6287	4893	5088	4523	5929	4115	4012	3319	2060	3987	1762	7573	8045	8299	12596	9627	4643	1517	1028	1343	2875	842
